epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8149,1.88724,2.24688,1.92421,0.58767,0.90833,0.7007,0.35594,1.71951,1.58005,1.62505,0.000409722,0.000409722,0.000409722
2,40.7919,1.34675,1.07915,1.42964,0.7611,0.85938,0.88022,0.53753,1.38585,0.96629,1.51882,0.000818208,0.000818208,0.000818208
3,59.2838,1.25936,0.94126,1.36905,0.83266,0.90455,0.91082,0.53852,1.32389,0.89735,1.55182,0.00121844,0.00121844,0.00121844
4,77.6681,1.20299,0.8293,1.34285,0.90675,0.91007,0.92173,0.59475,1.24807,0.73982,1.53565,0.00121287,0.00121287,0.00121287
5,96.9631,1.13528,0.72723,1.2867,0.84872,0.90112,0.9266,0.60052,1.28711,0.77496,1.4929,0.0012005,0.0012005,0.0012005
6,118.051,1.08848,0.6902,1.26025,0.90767,0.92188,0.96013,0.66957,1.09109,0.62034,1.3067,0.00118812,0.00118812,0.00118812
7,140.016,1.0589,0.64166,1.23762,0.88365,0.94405,0.96423,0.67735,1.09642,0.6352,1.44574,0.00117575,0.00117575,0.00117575
8,161.363,1.00255,0.57313,1.20846,0.95158,0.94039,0.97698,0.70292,1.03188,0.53085,1.29335,0.00116337,0.00116337,0.00116337
9,176.404,1.00475,0.56634,1.20576,0.92356,0.93522,0.96641,0.71817,1.0105,0.54054,1.30914,0.001151,0.001151,0.001151
10,191.194,0.9953,0.5628,1.20297,0.92487,0.95208,0.96671,0.70961,1.03256,0.56848,1.32663,0.00113863,0.00113863,0.00113863
11,205.686,0.97712,0.54232,1.1944,0.93852,0.96667,0.97876,0.72513,1.02758,0.50346,1.28505,0.00112625,0.00112625,0.00112625
12,220.035,0.94934,0.52358,1.16904,0.91235,0.92698,0.93023,0.68352,1.01109,0.62406,1.28809,0.00111388,0.00111388,0.00111388
13,234.482,0.93071,0.49729,1.15822,0.92327,0.96225,0.97323,0.73756,0.92902,0.49732,1.21938,0.0011015,0.0011015,0.0011015
14,248.898,0.92495,0.4984,1.1546,0.9482,0.97009,0.98372,0.75438,0.90796,0.46687,1.21006,0.00108913,0.00108913,0.00108913
15,263.394,0.91568,0.50304,1.16501,0.95193,0.97294,0.97647,0.75518,0.90502,0.46824,1.21031,0.00107675,0.00107675,0.00107675
16,277.459,0.90107,0.48424,1.15072,0.94259,0.93974,0.96753,0.71898,1.02069,0.53598,1.32628,0.00106437,0.00106437,0.00106437
17,291.497,0.91058,0.47727,1.15022,0.95642,0.97664,0.97767,0.74181,0.9357,0.43713,1.22339,0.001052,0.001052,0.001052
18,306.007,0.87037,0.46385,1.1237,0.96754,0.97578,0.9882,0.76516,0.87504,0.40992,1.20429,0.00103962,0.00103962,0.00103962
19,321.979,0.87356,0.4646,1.1359,0.97234,0.97556,0.98914,0.76792,0.89377,0.41212,1.22478,0.00102725,0.00102725,0.00102725
20,336.612,0.85363,0.45188,1.11696,0.98376,0.97934,0.98818,0.75171,0.91355,0.40676,1.24606,0.00101488,0.00101488,0.00101488
21,351.473,0.85192,0.44753,1.11688,0.98333,0.97813,0.99255,0.77714,0.88162,0.38709,1.19238,0.0010025,0.0010025,0.0010025
22,366.489,0.83718,0.43887,1.10692,0.97266,0.97317,0.98557,0.77297,0.89996,0.41353,1.20369,0.000990125,0.000990125,0.000990125
23,380.958,0.81488,0.41944,1.0977,0.97033,0.97326,0.97691,0.76576,0.86103,0.41629,1.21054,0.00097775,0.00097775,0.00097775
24,396.269,0.81358,0.41753,1.10372,0.97551,0.98158,0.98984,0.7795,0.88092,0.37891,1.22113,0.000965375,0.000965375,0.000965375
25,411.606,0.81992,0.42216,1.10343,0.96665,0.97331,0.98435,0.76052,0.91702,0.42638,1.23642,0.000953,0.000953,0.000953
26,427.012,0.85347,0.43962,1.12091,0.95919,0.96837,0.98638,0.77251,0.87646,0.43607,1.21468,0.000940625,0.000940625,0.000940625
27,443.15,0.82933,0.41781,1.11123,0.97096,0.97822,0.98393,0.7777,0.84652,0.40243,1.20039,0.00092825,0.00092825,0.00092825
28,458.994,0.81367,0.41328,1.09747,0.96153,0.96563,0.97944,0.78035,0.86366,0.43224,1.19758,0.000915875,0.000915875,0.000915875
29,474.831,0.80781,0.40313,1.09041,0.96531,0.96771,0.98428,0.79216,0.81157,0.39269,1.15888,0.0009035,0.0009035,0.0009035
30,491.151,0.78806,0.39565,1.09097,0.98648,0.98538,0.99298,0.79348,0.85099,0.36115,1.20729,0.000891125,0.000891125,0.000891125
31,507.786,0.78276,0.39914,1.08344,0.98777,0.98789,0.99366,0.80462,0.81511,0.35483,1.18677,0.00087875,0.00087875,0.00087875
32,523.903,0.77367,0.38745,1.07954,0.96661,0.9799,0.98977,0.7947,0.85687,0.37699,1.19664,0.000866375,0.000866375,0.000866375
33,540.303,0.78339,0.39142,1.08045,0.9833,0.98069,0.99338,0.78606,0.87779,0.3638,1.20178,0.000854,0.000854,0.000854
34,557.296,0.76621,0.38248,1.06604,0.97807,0.97861,0.99134,0.79819,0.83853,0.35079,1.16777,0.000841625,0.000841625,0.000841625
35,574.247,0.75852,0.38347,1.06502,0.97906,0.98272,0.99277,0.80213,0.81365,0.35385,1.16359,0.00082925,0.00082925,0.00082925
36,591.552,0.77293,0.38237,1.06912,0.99148,0.99664,0.99434,0.81323,0.79277,0.32946,1.14766,0.000816875,0.000816875,0.000816875
37,608.681,0.75587,0.38054,1.06482,0.98049,0.98438,0.99274,0.79568,0.80254,0.34141,1.18691,0.0008045,0.0008045,0.0008045
38,625.365,0.74526,0.3755,1.06081,0.96714,0.95134,0.96704,0.77602,0.82475,0.41492,1.15296,0.000792125,0.000792125,0.000792125
39,641.613,0.75135,0.36773,1.05538,0.97632,0.96378,0.98983,0.79678,0.81706,0.36906,1.14902,0.00077975,0.00077975,0.00077975
40,658.402,0.74145,0.37506,1.05311,0.95268,0.97668,0.98696,0.80164,0.81499,0.38608,1.20408,0.000767375,0.000767375,0.000767375
41,683.586,0.72951,0.36171,1.06059,0.96804,0.97983,0.99066,0.81086,0.80119,0.34958,1.17787,0.000755,0.000755,0.000755
42,722.713,0.72629,0.36496,1.05101,0.96463,0.97667,0.98738,0.78136,0.85205,0.37595,1.21309,0.000742625,0.000742625,0.000742625
43,759.697,0.74261,0.37187,1.05643,0.96563,0.98021,0.99003,0.80548,0.81634,0.36434,1.16381,0.00073025,0.00073025,0.00073025
44,795.871,0.73213,0.36917,1.0496,0.97758,0.97604,0.99177,0.81852,0.77911,0.34582,1.12779,0.000717875,0.000717875,0.000717875
45,831.896,0.72247,0.3568,1.04382,0.97597,0.97396,0.98773,0.80725,0.78771,0.35268,1.16124,0.0007055,0.0007055,0.0007055
46,866.679,0.72941,0.35966,1.04304,0.97504,0.97708,0.99043,0.80305,0.79824,0.35696,1.15941,0.000693125,0.000693125,0.000693125
